19:58:27.927 -> 6in, 17cm
19:59:13.230 -> 468in, 1192cm
19:59:13.555 -> 468in, 1192cm
19:59:13.882 -> 468in, 1192cm
19:59:14.206 -> 468in, 1192cm
19:59:14.533 -> 468in, 1192cm
19:59:14.814 -> 468in, 1192cm
19:59:15.142 -> 468in, 1192cm
19:59:15.467 -> 468in, 1192cm
19:59:15.797 -> 468in, 1192cm
19:59:16.122 -> 468in, 1192cm
19:59:16.447 -> 468in, 1192cm
19:59:16.772 -> 468in, 1192cm
19:59:17.101 -> 468in, 1192cm
19:59:17.381 -> 66in, 169cm
19:59:17.661 -> 468in, 1192cm
19:59:17.988 -> 468in, 1192cm
19:59:18.311 -> 468in, 1192cm
19:59:18.639 -> 467in, 1188cm
19:59:18.964 -> 468in, 1192cm
19:59:19.240 -> 7in, 17cm
19:59:19.567 -> 468in, 1192cm
19:59:19.894 -> 468in, 1192cm
19:59:20.220 -> 468in, 1192cm
19:59:20.499 -> 468in, 1192cm
19:59:20.824 -> 468in, 1192cm
19:59:21.150 -> 468in, 1192cm
19:59:21.477 -> 468in, 1192cm
19:59:21.801 -> 468in, 1192cm
19:59:22.129 -> 468in, 1192cm
19:59:22.455 -> 468in, 1192cm
19:59:22.736 -> 8in, 20cm
19:59:23.017 -> 468in, 1192cm
19:59:23.344 -> 468in, 1192cm
19:59:23.668 -> 468in, 1192cm
19:59:23.992 -> 468in, 1192cm
19:59:24.317 -> 468in, 1192cm
19:59:24.660 -> 468in, 1192cm
19:59:24.970 -> 468in, 1192cm
19:59:25.298 -> 468in, 1192cm
19:59:25.625 -> 468in, 1192cm
19:59:25.953 -> 468in, 1192cm
19:59:26.283 -> 468in, 1192cm
19:59:26.610 -> 468in, 1192cm
19:59:26.845 -> 7in, 20cm
19:59:27.172 -> 468in, 1192cm
19:59:27.406 -> 7in, 19cm
19:59:27.685 -> 7in, 19cm
19:59:28.011 -> 468in, 1192cm
19:59:28.339 -> 468in, 1192cm
19:59:28.665 -> 468in, 1192cm
19:59:28.946 -> 468in, 1192cm
19:59:29.273 -> 468in, 1192cm
19:59:29.600 -> 468in, 1192cm
19:59:29.923 -> 468in, 1192cm
19:59:30.250 -> 468in, 1192cm
19:59:30.576 -> 468in, 1192cm
19:59:30.903 -> 468in, 1192cm
19:59:31.230 -> 468in, 1192cm
19:59:31.559 -> 468in, 1192cm
19:59:31.884 -> 468in, 1192cm
19:59:32.210 -> 468in, 1192cm
19:59:32.538 -> 468in, 1192cm
19:59:32.861 -> 468in, 1192cm
19:59:33.097 -> 6in, 17cm
19:59:33.420 -> 468in, 1192cm
19:59:33.654 -> 4in, 10cm
19:59:33.980 -> 468in, 1192cm
19:59:34.258 -> 5in, 12cm
19:59:34.491 -> 3in, 9cm
19:59:34.769 -> 3in, 9cm
19:59:35.002 -> 3in, 10cm
19:59:35.284 -> 4in, 11cm
19:59:35.517 -> 4in, 11cm
19:59:35.754 -> 4in, 11cm
19:59:36.028 -> 4in, 11cm
19:59:36.261 -> 4in, 10cm
19:59:36.540 -> 3in, 9cm
19:59:36.774 -> 3in, 9cm
19:59:37.050 -> 3in, 9cm
19:59:37.281 -> 4in, 10cm
19:59:37.559 -> 5in, 13cm
19:59:37.794 -> 99in, 252cm
19:59:38.072 -> 3in, 7cm
19:59:38.306 -> 50in, 128cm
19:59:38.631 -> 468in, 1192cm
19:59:38.954 -> 468in, 1192cm
19:59:39.236 -> 20in, 52cm
19:59:39.474 -> 20in, 52cm
19:59:39.753 -> 20in, 51cm
19:59:39.986 -> 21in, 53cm
19:59:40.267 -> 20in, 51cm
19:59:40.500 -> 20in, 51cm
19:59:40.797 -> 20in, 51cm
19:59:41.013 -> 20in, 52cm
19:59:41.291 -> 20in, 52cm
19:59:41.525 -> 19in, 50cm
19:59:41.808 -> 20in, 52cm
19:59:42.040 -> 19in, 50cm
19:59:42.322 -> 19in, 50cm
19:59:42.554 -> 20in, 51cm
19:59:42.829 -> 20in, 51cm
19:59:43.087 -> 20in, 51cm
19:59:43.370 -> 468in, 1192cm
19:59:43.625 -> 20in, 51cm
19:59:43.882 -> 20in, 51cm
19:59:44.176 -> 20in, 51cm
19:59:44.431 -> 19in, 50cm
19:59:44.663 -> 20in, 51cm
19:59:44.944 -> 19in, 50cm
19:59:45.200 -> 20in, 51cm
19:59:45.444 -> 20in, 52cm
19:59:45.695 -> 20in, 51cm
19:59:45.950 -> 20in, 51cm
19:59:46.208 -> 19in, 50cm
19:59:46.465 -> 20in, 50cm
19:59:46.723 -> 20in, 50cm
19:59:46.961 -> 20in, 52cm
19:59:47.246 -> 20in, 50cm
19:59:47.496 -> 20in, 51cm
19:59:47.756 -> 20in, 51cm
19:59:47.990 -> 20in, 51cm
19:59:48.240 -> 20in, 51cm
19:59:48.531 -> 20in, 51cm
19:59:48.747 -> 20in, 52cm
19:59:49.010 -> 20in, 51cm
19:59:49.260 -> 20in, 52cm
19:59:49.530 -> 19in, 50cm
19:59:49.767 -> 19in, 50cm
19:59:50.068 -> 20in, 52cm
19:59:50.317 -> 20in, 52cm
19:59:50.560 -> 20in, 50cm
19:59:50.812 -> 19in, 50cm
19:59:51.070 -> 20in, 52cm
19:59:51.321 -> 20in, 52cm
19:59:51.577 -> 19in, 50cm
19:59:51.835 -> 20in, 52cm
19:59:52.076 -> 20in, 51cm
19:59:52.341 -> 20in, 50cm
19:59:52.585 -> 20in, 51cm
19:59:52.916 -> 468in, 1192cm
19:59:53.172 -> 4in, 11cm
19:59:53.427 -> 5in, 14cm
19:59:53.687 -> 7in, 19cm
19:59:54.018 -> 468in, 1192cm
19:59:54.337 -> 468in, 1192cm
19:59:54.680 -> 468in, 1192cm
19:59:54.979 -> 468in, 1192cm
19:59:55.284 -> 468in, 1192cm
19:59:55.620 -> 468in, 1192cm
19:59:55.963 -> 468in, 1192cm
19:59:56.280 -> 468in, 1192cm
19:59:56.612 -> 468in, 1192cm
19:59:56.912 -> 468in, 1192cm
19:59:57.238 -> 468in, 1192cm
19:59:57.580 -> 468in, 1192cm
19:59:57.877 -> 468in, 1192cm
19:59:58.215 -> 468in, 1192cm
19:59:58.469 -> 7in, 19cm
19:59:58.798 -> 468in, 1192cm
19:59:59.049 -> 8in, 21cm
19:59:59.295 -> 7in, 18cm
19:59:59.553 -> 7in, 19cm
19:59:59.856 -> 468in, 1192cm
20:00:00.111 -> 6in, 16cm
20:00:00.473 -> 468in, 1192cm
20:00:00.784 -> 468in, 1192cm
20:00:01.109 -> 468in, 1192cm
20:00:01.412 -> 468in, 1192cm
20:00:01.673 -> 7in, 17cm
20:00:01.933 -> 7in, 20cm
20:00:02.252 -> 468in, 1192cm
20:00:02.591 -> 468in, 1192cm
20:00:02.837 -> 7in, 19cm
20:00:03.081 -> 6in, 17cm
20:00:03.342 -> 6in, 17cm
20:00:03.591 -> 6in, 17cm
20:00:03.844 -> 6in, 15cm
20:00:04.101 -> 6in, 15cm
20:00:04.355 -> 6in, 15cm
20:00:04.619 -> 5in, 15cm
20:00:04.879 -> 5in, 15cm
20:00:05.131 -> 5in, 14cm
20:00:05.388 -> 5in, 14cm
20:00:05.637 -> 6in, 15cm
20:00:05.885 -> 5in, 15cm
20:00:06.140 -> 6in, 15cm
20:00:06.401 -> 6in, 16cm
20:00:06.657 -> 6in, 15cm
20:00:06.901 -> 6in, 17cm
20:00:07.158 -> 7in, 18cm
20:00:07.450 -> 468in, 1192cm
20:00:07.737 -> 6in, 17cm
20:00:07.984 -> 6in, 17cm
20:00:08.250 -> 7in, 18cm
20:00:08.533 -> 468in, 1192cm
20:00:08.861 -> 468in, 1192cm
20:00:09.188 -> 468in, 1192cm
20:00:09.518 -> 468in, 1192cm
20:00:09.862 -> 468in, 1192cm
20:00:10.158 -> 468in, 1192cm
20:00:10.487 -> 468in, 1192cm
20:00:10.746 -> 7in, 18cm
20:00:11.086 -> 468in, 1192cm
20:00:11.411 -> 468in, 1192cm
20:00:11.656 -> 8in, 20cm
20:00:11.960 -> 468in, 1192cm
20:00:12.213 -> 7in, 18cm
20:00:12.474 -> 6in, 15cm
20:00:12.733 -> 6in, 16cm
20:00:12.995 -> 6in, 17cm
20:00:13.239 -> 6in, 16cm
20:00:13.495 -> 6in, 16cm
20:00:13.744 -> 6in, 16cm
20:00:13.999 -> 6in, 16cm
20:00:14.261 -> 6in, 15cm
20:00:14.520 -> 6in, 16cm
20:00:14.770 -> 6in, 16cm
20:00:15.011 -> 6in, 17cm
20:00:15.269 -> 6in, 17cm
20:00:15.530 -> 6in, 17cm
20:00:15.767 -> 6in, 17cm
20:00:16.022 -> 6in, 17cm
20:00:16.265 -> 6in, 16cm
20:00:16.525 -> 6in, 16cm
20:00:16.780 -> 7in, 17cm
20:00:17.052 -> 7in, 18cm
20:00:17.294 -> 7in, 18cm
20:00:17.540 -> 7in, 18cm
20:00:17.803 -> 7in, 18cm
20:00:18.054 -> 5in, 15cm
20:00:18.375 -> 468in, 1192cm
20:00:18.707 -> 468in, 1192cm
20:00:19.029 -> 468in, 1192cm
20:00:19.365 -> 468in, 1192cm
20:00:19.661 -> 468in, 1192cm
20:00:20.011 -> 468in, 1192cm
20:00:20.348 -> 468in, 1192cm
20:00:20.635 -> 468in, 1192cm
20:00:20.980 -> 468in, 1192cm
20:00:21.273 -> 468in, 1192cm
20:00:21.530 -> 12in, 31cm
20:00:21.868 -> 468in, 1192cm
20:00:22.189 -> 468in, 1192cm
20:00:22.519 -> 468in, 1192cm
20:00:22.864 -> 468in, 1192cm
20:00:23.161 -> 468in, 1192cm
20:00:23.494 -> 468in, 1192cm
20:00:23.789 -> 468in, 1192cm
20:00:24.151 -> 468in, 1192cm
20:00:24.448 -> 468in, 1192cm
20:00:24.690 -> 9in, 25cm
20:00:24.975 -> 10in, 25cm
20:00:25.232 -> 2in, 7cm
20:00:25.528 -> 468in, 1192cm
20:00:25.790 -> 12in, 32cm
20:00:26.136 -> 468in, 1192cm
20:00:26.423 -> 468in, 1192cm
20:00:26.763 -> 468in, 1192cm
20:00:27.076 -> 468in, 1192cm
20:00:27.357 -> 10in, 26cm
20:00:27.589 -> 10in, 25cm
20:00:27.916 -> 468in, 1192cm
20:00:28.193 -> 10in, 27cm
20:00:28.520 -> 468in, 1192cm
20:00:28.753 -> 10in, 26cm
20:00:28.987 -> 10in, 26cm
20:00:29.268 -> 10in, 27cm
20:00:29.595 -> 468in, 1191cm
20:00:29.828 -> 10in, 26cm
20:00:30.109 -> 10in, 26cm
20:00:30.435 -> 468in, 1192cm
20:00:30.761 -> 468in, 1192cm
20:00:31.087 -> 468in, 1192cm
20:00:31.323 -> 9in, 24cm
20:00:31.554 -> 10in, 26cm
20:00:31.880 -> 468in, 1192cm
20:00:32.159 -> 11in, 29cm
20:00:32.394 -> 11in, 28cm
20:00:32.672 -> 10in, 27cm
20:00:32.907 -> 10in, 26cm
20:00:33.187 -> 9in, 24cm
20:00:33.514 -> 468in, 1192cm
20:00:33.746 -> 9in, 24cm
20:00:34.074 -> 468in, 1192cm
20:00:34.308 -> 9in, 24cm
20:00:34.587 -> 11in, 29cm
20:00:34.910 -> 468in, 1192cm
20:00:35.236 -> 468in, 1192cm
20:00:35.469 -> 11in, 29cm
20:00:35.747 -> 10in, 25cm
20:00:35.978 -> 10in, 25cm
20:00:36.258 -> 9in, 25cm
20:00:36.493 -> 10in, 26cm
20:00:36.772 -> 10in, 27cm
20:00:37.006 -> 11in, 29cm
20:00:37.332 -> 468in, 1192cm
20:00:37.659 -> 468in, 1192cm
20:00:37.985 -> 468in, 1192cm
20:00:38.311 -> 468in, 1192cm
20:00:38.543 -> 12in, 32cm
20:00:38.823 -> 11in, 28cm
20:00:39.059 -> 11in, 28cm
20:00:39.341 -> 11in, 28cm
20:00:39.572 -> 11in, 28cm
20:00:39.806 -> 11in, 29cm
20:00:40.087 -> 11in, 29cm
20:00:40.414 -> 468in, 1192cm
20:00:40.737 -> 468in, 1192cm
20:00:41.064 -> 468in, 1192cm
20:00:41.391 -> 468in, 1192cm
20:00:41.718 -> 468in, 1192cm
20:00:41.997 -> 468in, 1192cm
20:00:42.323 -> 468in, 1192cm
20:00:42.649 -> 468in, 1192cm
20:00:42.975 -> 468in, 1192cm
20:00:43.303 -> 468in, 1192cm
20:00:43.630 -> 468in, 1192cm
20:00:43.955 -> 468in, 1192cm
20:00:44.282 -> 468in, 1192cm
20:00:44.607 -> 468in, 1192cm
20:00:44.932 -> 468in, 1192cm
20:00:45.260 -> 468in, 1192cm
20:00:45.584 -> 468in, 1192cm
20:00:45.912 -> 468in, 1192cm
20:00:46.241 -> 468in, 1192cm
20:00:46.521 -> 468in, 1192cm
20:00:46.848 -> 468in, 1192cm
20:00:47.174 -> 468in, 1192cm
20:00:47.501 -> 468in, 1192cm
20:00:47.827 -> 468in, 1192cm
20:00:48.154 -> 468in, 1192cm
20:00:48.476 -> 468in, 1192cm
20:00:48.799 -> 468in, 1192cm
20:00:49.128 -> 468in, 1192cm
20:00:49.455 -> 468in, 1192cm
20:00:49.783 -> 468in, 1192cm
20:00:50.109 -> 468in, 1192cm
20:00:50.434 -> 468in, 1192cm
20:00:50.758 -> 468in, 1192cm
20:00:51.081 -> 468in, 1192cm
20:00:51.405 -> 468in, 1192cm
20:00:51.687 -> 468in, 1192cm
20:00:51.967 -> 11in, 29cm
20:00:52.292 -> 468in, 1192cm
20:00:52.618 -> 468in, 1192cm
20:00:52.943 -> 468in, 1192cm
20:00:53.270 -> 468in, 1192cm
20:00:53.596 -> 468in, 1192cm
20:00:53.923 -> 468in, 1192cm
20:00:54.205 -> 468in, 1192cm
20:00:54.531 -> 468in, 1192cm
20:00:54.858 -> 468in, 1192cm
20:00:55.184 -> 468in, 1192cm
20:00:55.514 -> 468in, 1192cm
20:00:55.839 -> 468in, 1192cm
20:00:56.166 -> 468in, 1192cm
20:00:56.490 -> 468in, 1192cm
20:00:56.816 -> 468in, 1192cm
20:00:57.145 -> 468in, 1192cm
20:00:57.469 -> 468in, 1192cm
20:00:57.794 -> 468in, 1192cm
20:00:58.122 -> 468in, 1192cm
20:00:58.446 -> 468in, 1192cm
20:00:58.727 -> 468in, 1192cm
20:00:59.054 -> 468in, 1192cm
20:00:59.383 -> 468in, 1192cm
20:00:59.709 -> 468in, 1192cm
20:01:00.036 -> 468in, 1192cm
20:01:00.314 -> 6in, 15cm
20:01:00.642 -> 468in, 1192cm
20:01:00.919 -> 468in, 1192cm
20:01:01.202 -> 12in, 32cm
20:01:01.436 -> 11in, 29cm
20:01:01.717 -> 11in, 28cm
